#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
139,obidos,奥比多斯,pt,54,21000,0.20,0.45,obidos,2025-10-24 17:58:10,"People also ask,Sitelinks,Thumbnail,Video preview,Knowledge panel",63000,1800,1900,2015-09-01,"Informational,Non-branded,Local"
140,faro,法鲁,pt,59,21000,0.20,0.37,faro,2025-10-20 07:58:48,"Knowledge panel,Thumbnail,Sitelinks,Top stories",313000,1900,2000,2015-09-01,"Informational,Non-branded,Local"
141,iptv,网络电视,pt,2,21000,0.15,1.04,iptv,2025-10-20 13:57:54,"Thumbnail,Knowledge panel",1160000,12000,12000,2015-09-01,"Informational,Non-branded,Non-local"
142,dia da mae,母亲节,pt,0,21000,0.10,0.35,dia da mae,2025-10-20 22:50:53,"Knowledge card,People also ask,Thumbnail,Knowledge panel",25000,2400,31000,2015-09-03,"Informational,Non-branded,Non-local"
143,translate portuguese to english,将葡萄牙语翻译成英语,pt,36,20000,0.30,0.27,tradutor,2025-10-20 21:46:46,Knowledge card,115000,192000,218000,2015-09-02,"Informational,Non-branded,Non-local"
144,torres vedras,托雷斯韦德拉斯,pt,22,20000,0.80,0.36,torres vedras,2025-10-21 09:32:03,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Top stories",24000,1500,1600,2015-09-01,"Informational,Non-branded,Local"
145,solucionador matemático,数学求解器,pt,0,20000,0.15,,solucionador matemático,2025-10-21 20:43:06,Sitelinks,650000,12000,279000,2021-03-09,"Informational,Non-branded,Non-local"
146,lady gaga,嘎嘎小姐,pt,86,20000,0.10,0.69,lady gaga,2025-10-21 00:47:03,"Knowledge panel,Thumbnail,Top stories,Video preview,Sitelinks",3040000,3600,30000,2015-09-01,"Informational,Non-branded,Non-local"
147,zanzibar,桑给巴尔,pt,0,20000,0.10,0.39,zanzibar,2025-10-20 07:25:46,"Thumbnail,Sitelinks,People also ask,Knowledge panel",1220000,4300,8100,2015-09-01,"Informational,Non-branded,Non-local"
148,euro real hoje,今日真实欧元,pt,35,20000,0.10,0.42,euro para real,2025-10-21 02:21:40,,63000,105000,348000,2015-09-03,"Informational,Non-branded,Non-local"
149,sesimbra,塞辛布拉,pt,9,20000,0.25,0.37,sesimbra,2025-10-21 23:56:13,"Sitelinks,People also ask",38000,5000,5100,2015-09-01,"Informational,Non-branded,Local"
150,certidão permanente,永久证书,pt,7,20000,0.35,1.19,certidão permanente,2025-10-21 22:01:02,Sitelinks,21000,35000,35000,2015-09-01,"Informational,Non-branded,Non-local"
151,titanic,泰坦尼克号,pt,34,20000,0.45,0.48,titanic,2025-10-22 00:01:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",2120000,7700,34000,2015-09-01,"Informational,Non-branded,Non-local"
152,nazare,纳扎雷,pt,24,20000,0.25,0.45,nazaré,2025-10-19 20:15:56,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",122000,2000,2500,2015-09-01,"Informational,Non-branded,Local"
153,jogo portugal,葡萄牙比赛,pt,58,20000,0.25,0.42,fpf bilheteira,2025-10-19 00:15:07,"Sitelinks,Knowledge panel,Video preview,Top stories,Thumbnail",35000,15000,15000,2015-09-03,"Informational,Non-branded,Non-local"
154,filmes online,在线电影,pt,64,20000,0.35,1.77,filmes online gratis,2025-10-21 00:41:06,Sitelinks,288000,43000,470000,2015-09-01,"Informational,Non-branded,Non-local"
155,sevilha,塞维利亚,pt,2,20000,0.20,0.35,sevilla,2025-10-21 04:01:34,"Thumbnail,Knowledge panel,People also ask,Sitelinks",40000,1800,4700,2015-09-01,"Informational,Non-branded,Local"
156,vpn,VPN,pt,47,20000,0.70,0.74,vpn,2025-10-24 07:40:01,"AI Overview,Thumbnail,Top ads,People also ask,Sitelinks,Bottom ads,Paid sitelinks,Knowledge panel",5330000,12000,62000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
157,webmail,网络邮件,pt,21,19000,0.40,0.79,webmail,2025-10-20 13:57:02,Knowledge panel,1880000,5700,5700,2015-09-01,"Informational,Non-branded,Non-local"
158,wallpaper,墙纸,pt,79,19000,0.30,0.35,wallpaper,2025-10-21 02:22:28,"Thumbnail,Knowledge panel",5520000,4800,1880000,2015-09-01,"Informational,Non-branded,Non-local"
159,pdf,pdf,pt,26,19000,0.15,0.85,i love pdf,2025-10-20 23:27:05,"Sitelinks,People also ask",3560000,108000,2840000,2015-09-01,"Informational,Non-branded,Non-local"
160,preço dos combustíveis,燃油价格,pt,20,19000,1.10,1.21,preços combustiveis,2025-10-22 00:31:37,"Top stories,Thumbnail,Sitelinks",20000,47000,47000,2015-09-01,"Informational,Non-branded,Non-local"
161,luxemburgo,卢森堡,pt,6,19000,0.10,0.39,luxemburgo,2025-10-24 07:41:21,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview",207000,2000,15000,2015-09-01,"Informational,Non-branded,Non-local"
162,videos sexo,性爱视频,pt,0,19000,0.30,1.46,sexo video,2025-10-22 00:02:39,,161000,2300,40000,2015-09-01,"Non-branded,Non-local"
163,dua lipa,杜阿·利帕,pt,74,19000,0.25,0.52,dua lipa,2025-10-21 08:34:02,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories",2920000,900,7600,2015-10-24,"Informational,Non-branded,Non-local"
164,panda,熊猫,pt,13,19000,0.15,0.52,panda,2025-10-24 12:49:23,"Sitelinks,Video preview,People also ask",1620000,2100,2300,2015-09-01,"Informational,Non-branded,Non-local"
165,combustível,燃料,pt,6,19000,0.20,0.64,preços combustíveis,2025-10-20 08:56:13,"Top stories,Thumbnail,Local pack,Knowledge panel,Sitelinks,Video preview",46000,56000,56000,2015-09-01,"Informational,Non-branded,Non-local"
166,evora,埃沃拉,pt,58,19000,0.20,0.4,evora,2025-10-20 03:14:39,"Knowledge panel,Thumbnail,Sitelinks,People also ask",68000,3100,4100,2015-09-01,"Informational,Non-branded,Local"
167,nudes,裸体,pt,0,18000,0.20,0.35,nudes,2025-10-21 03:51:54,,1880000,1400,32000,2015-09-01,"Non-branded,Non-local"
168,mail,邮件,pt,95,18000,0.25,0.43,mail,2025-10-24 22:57:48,"Sitelinks,Video preview",6280000,4900,1330000,2015-09-01,"Navigational,Non-branded,Non-local"
169,acai,巴西莓,pt,4,18000,0.25,0.4,acai,2025-10-21 13:06:25,"People also ask,Thumbnail",739000,5100,23000,2015-09-01,"Informational,Non-branded,Non-local"
170,madonna,麦当娜,pt,81,18000,0.35,0.78,madonna,2025-10-24 04:03:09,"Thumbnail,Sitelinks,Video preview,Knowledge panel",1830000,3800,22000,2015-09-01,"Informational,Non-branded,Non-local"
171,tracking,追踪,pt,60,18000,0.25,1.13,tracking,2025-10-21 00:55:24,People also ask,784000,17000,18000,2015-09-01,"Informational,Non-branded,Non-local"
172,tavira,塔维拉,pt,4,18000,0.15,0.39,tavira,2025-10-21 18:57:20,"Sitelinks,Knowledge panel,People also ask,Top stories,Thumbnail",72000,4800,4800,2015-09-01,"Informational,Non-branded,Local"
173,demi moore,黛米摩尔,pt,19,18000,3.50,0.3,demi moore,2025-10-24 07:41:08,"Knowledge panel,Thumbnail,Top stories,Sitelinks,Video preview",2000000,2200,14000,2015-09-01,"Informational,Non-branded,Non-local"
174,porto weather,波尔图 天气,pt,2,18000,0.45,0.37,weather porto,2025-10-21 15:04:26,"Knowledge card,Sitelinks",42000,5500,6600,2015-09-02,"Informational,Non-branded,Local"
175,vigo,维戈,pt,1,18000,0.15,0.35,vigo,2025-10-20 16:26:35,"Knowledge panel,Thumbnail,People also ask",192000,1700,2200,2015-09-01,"Informational,Non-branded,Local"
176,jogo do benfica hoje em directo,本菲卡今天比赛直播,pt,55,18000,0.40,1.5,benfica hoje,2025-10-20 23:01:51,"People also ask,Sitelinks",21000,135000,170000,2015-10-04,"Informational,Non-branded,Non-local"
177,bacalhau com natas,奶油鳕鱼,pt,0,18000,0.10,1.14,bacalhau com natas,2025-10-21 15:26:54,"Top stories,Thumbnail,Video preview",38000,6900,8400,2015-09-01,"Informational,Non-branded,Non-local"
178,first row,第一行,pt,28,18000,0.40,1.43,firstrow,2025-10-21 18:00:09,Sitelinks,38000,28000,134000,2015-09-01,"Informational,Non-branded,Non-local"
179,d,d,pt,1,18000,0.50,0.34,vitamina d,2025-10-24 11:57:49,"Sitelinks,Knowledge panel",4450000,8600,8800,2015-09-01,"Informational,Non-branded,Non-local"
180,feliz natal,圣诞快乐,pt,0,17000,0.30,0.34,feliz natal,2025-10-22 01:34:03,Thumbnail,385000,2700,32000,2015-09-11,"Informational,Non-branded,Non-local"
181,vip,贵宾,pt,4,17000,0.20,1,vip,2025-10-24 17:58:16,"Sitelinks,Knowledge panel,Thumbnail,Video preview",420000,16000,16000,2015-09-01,"Informational,Non-branded,Non-local"
182,credito pessoal,个人信用,pt,32,17000,1.40,1.62,credito pessoal,2025-10-20 08:52:25,Sitelinks,25000,8200,8400,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
183,maldivas,马尔代夫,pt,0,17000,0.10,0.43,maldives,2025-10-22 00:18:29,"Knowledge panel,People also ask,Thumbnail,Sitelinks",220000,450,9200,2015-09-01,"Informational,Non-branded,Non-local"
184,malaga,马拉加,pt,1,17000,0.15,0.3,malaga,2025-10-21 18:55:02,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Video preview",1100000,3800,5000,2015-09-01,"Informational,Non-branded,Local"
185,0800 tv,0800电视,pt,8,17000,1.20,,tv0800,2025-10-21 22:57:28,Sitelinks,23000,41000,120000,2020-02-09,"Informational,Navigational,Non-branded,Non-local"
186,fernando pessoa,费尔南多·佩索阿,pt,50,17000,0.10,0.52,fernando pessoa,2025-10-21 01:56:29,"Sitelinks,Knowledge panel,People also ask",76000,3200,6400,2015-09-01,"Informational,Non-branded,Non-local"
187,tra,之间,pt,69,17000,0.20,0.03,tradutor,2025-10-21 00:00:15,"Knowledge card,Sitelinks,Thumbnail",1240000,192000,218000,2015-09-01,"Informational,Non-branded,Non-local"
188,lisbon,里斯本,pt,85,17000,0.15,0.39,lisboa,2025-10-21 18:29:10,"Thumbnail,Knowledge panel,Sitelinks,Top stories",409000,13000,25000,2015-09-01,"Informational,Non-branded,Local"
189,epicentro,震中,pt,4,17000,0.45,0.54,epicentro,2025-10-20 23:04:12,"People also ask,Knowledge panel",154000,5300,5600,2015-09-06,"Informational,Non-branded,Non-local"
190,restaurantes,餐馆,pt,1,17000,0.15,0.2,the fork,2025-10-24 19:50:56,"Sitelinks,People also ask,Thumbnail,Video preview",175000,42000,42000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
191,sol,溶胶,pt,15,17000,0.15,0.83,sol,2025-10-20 08:56:49,"Sitelinks,Knowledge panel",1200000,11000,11000,2015-09-01,"Informational,Non-branded,Non-local"
192,salário mínimo,最低工资,pt,3,17000,0.45,0.61,salário mínimo,2025-10-21 00:59:36,"Featured snippet,People also ask,Knowledge panel,Top stories,Thumbnail",293000,5200,5300,2015-09-01,"Informational,Non-branded,Non-local"
193,euro rate in india,印度的欧元汇率,pt,0,17000,1.10,,euro rate in india,2025-10-24 15:43:17,"Sitelinks,People also ask,Video preview",139000,22000,194000,2015-10-11,"Informational,Non-branded,Local"
194,cambio,改变,pt,38,16000,0.50,1.07,conversor moeda,2025-10-24 17:58:11,"Sitelinks,Knowledge panel,Video preview",218000,115000,151000,2015-09-01,"Informational,Non-branded,Non-local"
195,porto santo,圣港,pt,40,16000,0.15,0.51,porto santo,2025-10-21 02:40:32,"Knowledge panel,People also ask,Thumbnail,Top stories,Sitelinks",72000,1900,2000,2015-09-01,"Informational,Non-branded,Local"
196,tradutor português espanhol,西班牙语 葡萄牙语 翻译,pt,7,16000,0.10,0.25,tradutor,2025-10-21 20:30:22,"Knowledge card,Sitelinks",33000,180000,204000,2015-09-03,"Informational,Non-branded,Non-local"
197,jogos de seleção portuguesa de futebol,葡萄牙国家足球队比赛,pt,50,16000,0.15,,jogos de seleção portuguesa de futebol,2025-10-24 13:32:42,"Sitelinks,Top stories,Thumbnail,People also ask,Video preview,Knowledge panel",51000,24000,39000,2022-08-22,"Informational,Non-branded,Non-local"
198,snake game,蛇游戏,pt,81,16000,0.15,0.48,snake game,2025-10-19 01:41:36,"Sitelinks,Thumbnail,Knowledge panel",8350000,5300,2950000,2015-09-01,"Non-branded,Non-local"
199,por do sol,日落,pt,3,16000,0.15,0.28,por do sol,2025-10-21 12:09:27,"Video preview,Thumbnail,Sitelinks",174000,1200,1300,2015-09-01,"Informational,Non-branded,Non-local"
200,cambio euro real,真实欧元兑换,pt,35,16000,0.45,0.86,euro para real,2025-10-21 02:38:19,,103000,105000,348000,2015-09-01,"Informational,Non-branded,Non-local"
201,idoso,老年,pt,3,16000,0.35,0.26,idoso,2025-10-20 13:48:04,"Top stories,Thumbnail,People also ask,Knowledge panel",79000,350,3100,2015-09-05,"Informational,Non-branded,Non-local"
202,booking extranet,预订外联网,pt,9,16000,1.30,1.05,booking extranet,2025-10-24 13:33:26,"Sitelinks,Video preview,Thumbnail",821000,22000,847000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
203,gatos,加托斯,pt,2,16000,0.10,0.37,gatos,2025-10-20 08:55:47,"Thumbnail,Knowledge panel,Sitelinks,People also ask",623000,2800,26000,2015-09-01,"Informational,Non-branded,Non-local"
204,pound to euro,英镑兑欧元,pt,15,16000,0.90,0.5,pound to euro,2025-10-21 17:51:21,"Sitelinks,People also ask",938000,11000,293000,2015-09-01,"Informational,Non-branded,Non-local"
205,torre eiffel,埃菲尔铁塔,pt,5,16000,0.35,0.4,torre eiffel,2025-10-23 00:19:19,"Sitelinks,Thumbnail,Video preview",407000,3700,15000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
206,taxas euribor,欧元同业拆借利率,pt,6,16000,0.70,1.03,euribor,2025-10-21 15:06:32,"Top stories,Thumbnail,Sitelinks,People also ask",17000,67000,68000,2015-09-01,"Informational,Non-branded,Non-local"
207,aviso de vento,大风警告,pt,0,16000,0.10,,notícias sobre meteorologia,2025-10-20 13:56:21,People also ask,18000,5900,5900,2022-04-20,"Informational,Non-branded,Non-local"
208,sushi,寿司,pt,2,16000,0.25,0.29,sushi,2025-10-21 21:58:33,"Thumbnail,People also ask,Video preview",2300000,2000,9300,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
209,unhas de gel,凝胶指甲,pt,0,16000,0.15,0.25,unhas de gel,2025-10-17 01:05:05,"Thumbnail,People also ask",68000,100,100,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
210,dolar euro,美元 欧元,pt,16,16000,1.10,0.64,dolar euro,2025-10-24 12:49:45,"Sitelinks,Video preview",195000,21000,22000,2015-09-01,"Informational,Non-branded,Non-local"
211,praga,布拉格,pt,0,16000,0.10,0.33,praga,2025-10-24 20:57:56,"Thumbnail,People also ask,Top stories,Video preview,Knowledge panel",425000,3300,6700,2015-09-01,"Informational,Non-branded,Local"
212,cr7,铬7,pt,73,16000,0.20,0.72,ronaldo,2025-10-24 13:33:56,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",1190000,16000,125000,2015-09-01,"Informational,Non-branded,Non-local"
213,tradutor português ingles,英语 葡萄牙语 翻译,pt,8,16000,0.15,0.16,tradutor,2025-10-20 16:30:26,Knowledge card,30000,192000,218000,2015-09-04,"Informational,Non-branded,Non-local"
214,jogos hoje,今天的比赛,pt,55,16000,0.50,0.95,futebol hoje,2025-10-21 10:05:55,Sitelinks,466000,107000,156000,2015-09-03,"Informational,Non-branded,Non-local"
215,sapatilhas,运动鞋,pt,0,16000,0.15,0.58,sapatilhas mulher,2025-10-21 20:11:30,"Shopping,Thumbnail,Sitelinks",24000,11000,12000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
216,metro,地铁,pt,52,16000,0.15,0.7,metro porto,2025-10-21 04:14:08,"Sitelinks,Thumbnail,Knowledge panel,Video preview",2360000,32000,36000,2015-09-01,"Informational,Non-branded,Non-local"
217,betty grafstein,贝蒂·格拉夫斯坦,pt,0,16000,0.15,0.63,lady betty,2025-10-21 02:19:06,"Top stories,Thumbnail,Knowledge panel,Video preview,People also ask",20000,1300,1400,2015-09-01,"Informational,Non-branded,Non-local"
218,selena gomez,赛琳娜·戈麦斯,pt,73,16000,0.45,0.69,selena gomez,2025-10-20 19:13:41,"Top stories,Thumbnail,Knowledge panel,Sitelinks",2500000,1500,8000,2015-09-01,"Informational,Non-branded,Non-local"
219,piscinas,游泳池,pt,5,16000,0.10,0.69,piscinas,2025-10-20 21:39:10,"Shopping,Thumbnail,Sitelinks",102000,6600,6600,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
220,funchal,丰沙尔,pt,34,16000,0.15,0.37,camara municipal do funchal,2025-10-20 20:34:28,"Knowledge panel,Top stories,Thumbnail,People also ask,Sitelinks",167000,2200,2400,2015-09-02,"Informational,Non-branded,Local"
221,adhd,多动症,pt,89,16000,0.15,0.36,adhd,2025-10-22 00:33:56,"People also ask,Thumbnail,Sitelinks,Knowledge panel",2530000,4100,6200,2015-09-01,"Informational,Non-branded,Non-local"
222,golden retriever,金毛猎犬,pt,4,15000,0.15,0.28,golden retriever,2025-10-21 19:31:26,"Thumbnail,Knowledge panel,Video preview,People also ask",2380000,1400,14000,2015-09-01,"Informational,Non-branded,Non-local"
223,city,城市,pt,61,15000,0.70,0.23,man city,2025-10-21 00:17:02,"Top stories,Thumbnail,Knowledge panel",1850000,7500,13000,2015-09-01,"Informational,Non-branded,Non-local"
224,cv,简历,pt,26,15000,0.90,1.03,curriculum vitae,2025-10-20 23:25:29,"Sitelinks,Thumbnail,People also ask,Knowledge panel",2180000,110000,121000,2015-09-01,"Informational,Non-branded,Non-local"
225,guimarães,吉马良斯,pt,57,15000,0.20,0.36,guimarães,2025-10-20 15:11:05,"Thumbnail,Sitelinks",26000,4600,4800,2015-09-01,"Informational,Non-branded,Local"
226,tony carreira,托尼职业生涯,pt,8,15000,0.15,0.66,tony carreira,2025-10-20 03:59:21,"Knowledge panel,Sitelinks,Thumbnail,Video preview",29000,2500,2600,2015-09-01,"Informational,Non-branded,Non-local"
227,portugal vs espanha,葡萄牙 vs 西班牙,pt,0,15000,0.35,0.49,portugal vs espanha,2025-10-21 18:00:22,"People also ask,Sitelinks,Video preview",19000,2800,4400,2015-09-21,"Informational,Non-branded,Non-local"
228,melatonina,褪黑素,pt,0,15000,0.20,0.77,melatonina,2025-10-21 01:53:52,"Thumbnail,People also ask,Sitelinks,Knowledge panel",1050000,4100,4200,2015-09-01,"Informational,Non-branded,Non-local"
229,ponte de lima,莱姆桥,pt,14,15000,0.15,0.46,ponte de lima,2025-10-20 13:20:21,"Knowledge panel,Thumbnail,Sitelinks,Video preview",28000,1600,1700,2015-09-01,"Informational,Non-branded,Local"
230,tradutor português,葡萄牙语翻译,pt,22,15000,0.10,0.25,tradutor,2025-10-21 15:08:17,Knowledge card,80000,180000,204000,2015-10-14,"Informational,Non-branded,Non-local"
231,web,网络,pt,90,15000,0.70,0.68,whatsapp web,2025-10-20 22:52:23,"Sitelinks,People also ask",2650000,1680000,588900000,2015-09-01,"Informational,Non-branded,Non-local"
232,ar condicionado,空调,pt,1,15000,0.10,0.81,ar condicionado,2025-10-21 23:06:38,"Shopping,Thumbnail,Sitelinks",586000,3600,4100,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
233,azeite,油,pt,0,15000,0.20,0.34,azeite,2025-10-21 21:29:02,"Shopping,Thumbnail,Top stories,People also ask,Sitelinks",57000,600,1500,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
234,euro to dollar,欧元兑美元,pt,76,15000,0.20,0.56,euro to dollar,2025-10-21 00:22:38,"Sitelinks,People also ask",1240000,6700,172000,2015-09-01,"Informational,Non-branded,Non-local"
235,supermercado,超级市场,pt,57,15000,0.20,0.18,supermercado,2025-10-21 15:10:21,"Knowledge panel,Thumbnail,People also ask",437000,600,600,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
236,tradutor francês,法语翻译,pt,0,15000,0.10,0.22,tradutor,2025-10-24 12:50:45,"Knowledge card,Sitelinks,Video preview",27000,197000,219000,2015-09-04,"Informational,Non-branded,Non-local"
237,costa da caparica,卡帕里卡海岸,pt,11,15000,0.20,0.31,costa da caparica,2025-10-21 01:56:21,"Knowledge panel,Thumbnail,Sitelinks",29000,1700,1800,2015-09-01,"Informational,Non-branded,Local"
238,tgatas,就是这样,pt,12,15000,0.30,1.32,tgatas,2025-10-24 04:02:42,,17000,8900,9100,2015-09-01,"Informational,Non-branded,Non-local"
239,editar pdf,编辑pdf,pt,21,15000,0.30,1.48,editar pdf,2025-10-21 13:05:44,,927000,34000,327000,2015-09-08,"Informational,Non-branded,Non-local"
240,bolo de iogurte,酸奶蛋糕,pt,0,15000,0.20,1.23,bolo de iogurte,2025-10-16 03:03:48,"Top stories,Thumbnail,Video preview",37000,7000,7500,2015-09-01,"Informational,Non-branded,Non-local"
241,menorca,梅诺卡岛,pt,0,15000,0.10,0.46,menorça,2025-10-19 22:34:03,"Knowledge panel,People also ask,Thumbnail,Sitelinks",257000,1900,1900,2015-09-01,"Informational,Non-branded,Local"
242,sardenha,撒丁岛,pt,0,15000,0.10,0.45,sardenha,2025-10-21 22:00:48,"Knowledge panel,People also ask,Thumbnail,Sitelinks",34000,1500,3100,2015-09-02,"Informational,Non-branded,Non-local"
243,paracetamol,扑热息痛,pt,3,15000,0.20,0.53,paracetamol,2025-10-20 20:40:54,"Thumbnail,People also ask",1950000,3100,5200,2015-09-01,"Informational,Non-branded,Non-local"
244,dolar para euro,美元兑欧元,pt,3,15000,0.15,0.71,dolar para euro,2025-10-20 21:49:25,,21000,22000,27000,2015-09-01,"Informational,Non-branded,Non-local"
245,lagos,拉各斯,pt,31,15000,0.35,0.29,lagos,2025-10-21 01:07:15,"Knowledge panel,Thumbnail,Sitelinks,Top stories",367000,2000,2300,2015-09-01,"Informational,Non-branded,Local"
246,converter reais em euros,将雷亚尔兑换成欧元,pt,0,15000,0.50,0.88,real para euro,2025-10-25 00:36:50,Video preview,16000,81000,108000,2015-09-01,"Informational,Non-branded,Non-local"
247,bacalhau,鳕鱼,pt,0,15000,0.10,0.36,bacalhau,2025-10-20 16:26:30,"Top stories,Thumbnail,Knowledge panel,Video preview,Sitelinks",86000,1100,1100,2015-09-01,"Informational,Non-branded,Non-local"
248,ponta delgada,细尖,pt,46,15000,0.15,0.32,ponta delgada,2025-10-24 10:39:51,"Knowledge panel,People also ask,Thumbnail,Sitelinks,Top stories,Video preview",121000,600,800,2015-09-01,"Informational,Non-branded,Local"
249,fatima,法蒂玛,pt,6,15000,0.10,0.59,santuario de fatima,2025-10-21 20:28:54,"Knowledge panel,Sitelinks,People also ask",169000,16000,19000,2015-09-01,"Informational,Non-branded,Non-local"
250,palavra do dia,每日一词,pt,47,15000,0.15,1,palavra do dia,2025-10-21 05:20:42,,213000,11000,20000,2015-09-16,"Informational,Non-branded,Non-local"
251,salario minimo portugal,葡萄牙最低工资,pt,5,15000,0.60,0.61,salario minimo 2025,2025-10-19 00:05:25,"AI Overview,People also ask",24000,34000,36000,2015-09-01,"Informational,Non-branded,Non-local"
252,praia,普拉亚,pt,4,15000,0.15,0.23,praua,2025-10-21 09:34:27,"Top stories,Thumbnail,Video preview",213000,30,8900,2015-09-01,"Informational,Non-branded,Non-local"
253,ibuprofeno,布洛芬,pt,19,15000,0.30,0.5,ibuprofeno,2025-10-24 17:58:03,"AI Overview,Thumbnail,People also ask,Sitelinks,Bottom ads",1340000,2800,18000,2015-09-01,"Informational,Non-branded,Non-local"
254,skin,皮肤,pt,24,15000,0.45,0.84,skin pt,2025-10-21 15:08:30,Sitelinks,359000,2300,2400,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
255,amarante,苋菜,pt,16,15000,0.15,0.38,camara municipal de amarante,2025-10-21 18:19:12,"Sitelinks,Thumbnail,Knowledge panel",53000,500,700,2015-09-01,"Informational,Non-branded,Local"
256,setubal,塞图巴尔,pt,28,14000,0.25,0.34,setúbal,2025-10-21 02:38:21,"People also ask,Thumbnail,Sitelinks,Top stories",46000,1200,1400,2015-09-01,"Informational,Non-branded,Local"
257,ibiza,伊维萨岛,pt,1,14000,0.15,0.34,ibiza espanha,2025-10-21 15:09:06,"Knowledge panel,People also ask,Thumbnail",911000,250,3300,2015-09-01,"Informational,Non-branded,Local"
258,hem,下摆,pt,22,14000,0.20,0.98,h&m,2025-10-25 00:33:59,"Sitelinks,Thumbnail,Video preview",172000,59000,61000,2015-09-01,"Informational,Navigational,Commercial,Non-branded,Non-local"
259,agueda,阿格达,pt,0,14000,0.20,0.33,águeda portugal,2025-10-24 06:46:37,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",20000,300,500,2015-09-01,"Informational,Non-branded,Local"
260,caderneta predial,建筑书,pt,0,14000,0.25,1.07,caderneta predial,2025-10-21 18:02:02,People also ask,15000,22000,22000,2015-09-01,"Informational,Non-branded,Non-local"
261,van gogh,梵高,pt,30,14000,0.60,0.38,van gogh,2025-10-21 01:55:55,"People also ask,Knowledge panel,Thumbnail,Sitelinks",1080000,4600,13000,2015-09-01,"Informational,Non-branded,Non-local"
262,fogos ativos,活跃的火灾,pt,19,14000,0.60,1.4,fogos pt,2025-10-22 01:46:06,Sitelinks,14000,104000,105000,2015-09-06,"Informational,Non-branded,Non-local"
263,euro to pkr,欧元 兑换 PKR,pt,13,14000,0.80,0.26,euro rate in pakistan,2025-10-24 17:52:06,"People also ask,Sitelinks",1240000,3500,198000,2015-09-04,"Informational,Non-branded,Non-local"
264,estoril,埃斯托里尔,pt,53,14000,0.25,0.31,estoril praia,2025-10-24 06:45:31,"Thumbnail,Sitelinks,People also ask,Top stories,Video preview",68000,5200,9000,2015-09-01,"Informational,Non-branded,Local"
265,singapura,新加坡,pt,2,14000,0.10,0.42,singapura,2025-10-24 08:48:45,"People also ask,Thumbnail,Sitelinks,Top stories,Video preview,Knowledge panel",166000,1700,12000,2015-09-01,"Informational,Non-branded,Non-local"
266,futsal,五人制足球,pt,2,14000,0.10,0.79,futsal,2025-10-24 15:40:59,"Top stories,Thumbnail,People also ask,Knowledge panel,Local pack,Video preview",293000,4400,16000,2015-09-01,"Informational,Non-branded,Non-local"
267,filmes online gratis,免费在线电影,pt,65,14000,0.30,1.8,series online,2025-10-21 13:01:12,Sitelinks,150000,30000,47000,2015-09-01,"Informational,Non-branded,Non-local"
268,tabelas irs 2025,国税局表格 2025,pt,9,14000,0.30,,tabelas irs 2024,2025-10-22 02:01:06,People also ask,15000,53000,53000,2024-01-02,"Informational,Non-branded,Non-local"
269,simulador credito habitação,住房信贷模拟器,pt,16,14000,1.20,1.56,simulador credito habitação,2025-10-24 20:09:41,"Sitelinks,Video preview",15000,26000,26000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
270,aquario,水族馆,pt,9,14000,0.10,0.86,aquario,2025-10-24 18:44:30,"Sitelinks,Shopping,Thumbnail,Video preview",97000,20000,21000,2015-09-01,"Informational,Non-branded,Non-local"
271,negocios,商业,pt,6,14000,0.40,1,negocios,2025-10-20 02:36:29,Sitelinks,60000,25000,27000,2015-09-01,"Informational,Non-branded,Non-local"
272,qr code,二维码,pt,40,14000,0.20,0.64,qr code,2025-10-21 05:20:47,"Sitelinks,People also ask,Knowledge panel",2120000,6900,491000,2015-09-01,"Informational,Non-branded,Non-local"
273,aeroporto porto,港口机场,pt,15,14000,0.30,0.82,greve aeroporto,2025-10-21 12:27:03,"Sitelinks,Local pack",18000,5200,5200,2015-09-01,"Informational,Non-branded,Local"
